x,y,z,date,designator,x_led,y_led,time_delta
1183,5254,0,2023-08-27T12:11:11.114000+00:00,U53,1086,5212,240
1192,5273,0,2023-08-27T12:11:11.314000+00:00,U53,1086,5212,200
1201,5294,0,2023-08-27T12:11:11.534000+00:00,U53,1086,5212,220
1205,5302,0,2023-08-27T12:11:11.613000+00:00,U53,1086,5212,79
1214,5323,0,2023-08-27T12:11:11.814000+00:00,U53,1086,5212,201
1228,5352,0,2023-08-27T12:11:12.134000+00:00,U53,1086,5212,320
1242,5382,0,2023-08-27T12:11:12.334000+00:00,U53,1086,5212,200
1251,5402,0,2023-08-27T12:11:12.714000+00:00,U54,1250,5615,380
1257,5416,0,2023-08-27T12:11:12.874000+00:00,U54,1250,5615,160
1267,5438,0,2023-08-27T12:11:13.134000+00:00,U54,1250,5615,260
1278,5462,0,2023-08-27T12:11:13.414000+00:00,U54,1250,5615,280
1284,5475,0,2023-08-27T12:11:13.574000+00:00,U54,1250,5615,160
1291,5490,0,2023-08-27T12:11:13.754000+00:00,U54,1250,5615,180
1303,5518,0,2023-08-27T12:11:13.994000+00:00,U54,1250,5615,240
1309,5534,0,2023-08-27T12:11:14.314000+00:00,U54,1250,5615,320
1314,5546,0,2023-08-27T12:11:14.474000+00:00,U54,1250,5615,160
1320,5563,0,2023-08-27T12:11:14.694000+00:00,U54,1250,5615,220
1335,5601,0,2023-08-27T12:11:15.074000+00:00,U54,1250,5615,380
1341,5618,0,2023-08-27T12:11:15.434000+00:00,U54,1250,5615,360
1347,5634,0,2023-08-27T12:11:15.654000+00:00,U54,1250,5615,220
1356,5657,0,2023-08-27T12:11:15.854000+00:00,U54,1250,5615,200
1365,5680,0,2023-08-27T12:11:16.294000+00:00,U54,1250,5615,440
1370,5693,0,2023-08-27T12:11:16.474000+00:00,U54,1250,5615,180
1376,5708,0,2023-08-27T12:11:16.694000+00:00,U54,1250,5615,220
1381,5720,0,2023-08-27T12:11:16.874000+00:00,U54,1250,5615,180
1388,5740,0,2023-08-27T12:11:17.094000+00:00,U54,1250,5615,220
1394,5756,0,2023-08-27T12:11:17.454000+00:00,U54,1250,5615,360
1399,5767,0,2023-08-27T12:11:17.654000+00:00,U54,1250,5615,200
1405,5783,0,2023-08-27T12:11:17.934000+00:00,U54,1250,5615,280
1410,5797,0,2023-08-27T12:11:18.193000+00:00,U55,1418,6017,259
1417,5813,0,2023-08-27T12:11:18.354000+00:00,U55,1418,6017,161
1424,5831,0,2023-08-27T12:11:18.734000+00:00,U55,1418,6017,380
1432,5853,0,2023-08-27T12:11:19.154000+00:00,U55,1418,6017,420
1439,5870,0,2023-08-27T12:11:19.614000+00:00,U55,1418,6017,460
1442,5879,0,2023-08-27T12:11:19.794000+00:00,U55,1418,6017,180
1448,5894,0,2023-08-27T12:11:19.994000+00:00,U55,1418,6017,200
1453,5907,0,2023-08-27T12:11:20.334000+00:00,U55,1418,6017,340
1458,5920,0,2023-08-27T12:11:20.614000+00:00,U55,1418,6017,280
1461,5927,0,2023-08-27T12:11:20.754000+00:00,U55,1418,6017,140
1464,5935,0,2023-08-27T12:11:20.914000+00:00,U55,1418,6017,160
1471,5953,0,2023-08-27T12:11:21.274000+00:00,U55,1418,6017,360
1474,5962,0,2023-08-27T12:11:21.454000+00:00,U55,1418,6017,180
1478,5971,0,2023-08-27T12:11:21.634000+00:00,U55,1418,6017,180
1480,5976,0,2023-08-27T12:11:21.734000+00:00,U55,1418,6017,100
1486,5993,0,2023-08-27T12:11:22.054000+00:00,U55,1418,6017,320
1491,6006,0,2023-08-27T12:11:22.274000+00:00,U55,1418,6017,220
1496,6019,0,2023-08-27T12:11:22.494000+00:00,U55,1418,6017,220
1502,6033,0,2023-08-27T12:11:22.714000+00:00,U55,1418,6017,220
1502,6035,0,2023-08-27T12:11:22.734000+00:00,U55,1418,6017,20
1509,6052,0,2023-08-27T12:11:22.994000+00:00,U55,1418,6017,260
1515,6068,0,2023-08-27T12:11:23.214000+00:00,U55,1418,6017,220
1526,6096,0,2023-08-27T12:11:23.494000+00:00,U55,1418,6017,280
1532,6112,0,2023-08-27T12:11:23.814000+00:00,U55,1418,6017,320
1542,6136,0,2023-08-27T12:11:24.114000+00:00,U55,1418,6017,300
1548,6152,0,2023-08-27T12:11:24.294000+00:00,U55,1418,6017,180
1553,6166,0,2023-08-27T12:11:24.454000+00:00,U55,1418,6017,160
1560,6184,0,2023-08-27T12:11:24.654000+00:00,U55,1418,6017,200
1568,6203,0,2023-08-27T12:11:24.853000+00:00,U56,1583,6419,199
1585,6249,0,2023-08-27T12:11:25.174000+00:00,U56,1583,6419,321
1595,6274,0,2023-08-27T12:11:25.554000+00:00,U56,1583,6419,380
1601,6290,0,2023-08-27T12:11:25.714000+00:00,U56,1583,6419,160
1606,6302,0,2023-08-27T12:11:25.834000+00:00,U56,1583,6419,120
1617,6331,0,2023-08-27T12:11:26.114000+00:00,U56,1583,6419,280
1625,6352,0,2023-08-27T12:11:26.314000+00:00,U56,1583,6419,200
1638,6385,0,2023-08-27T12:11:26.574000+00:00,U56,1583,6419,260
1654,6427,0,2023-08-27T12:11:27.014000+00:00,U56,1583,6419,440
1667,6454,0,2023-08-27T12:11:27.334000+00:00,U56,1583,6419,320
1677,6472,0,2023-08-27T12:11:27.554000+00:00,U56,1583,6419,220
1699,6501,0,2023-08-27T12:11:27.894000+00:00,U56,1583,6419,340
1722,6526,0,2023-08-27T12:11:28.194000+00:00,U56,1583,6419,300
1742,6542,0,2023-08-27T12:11:28.414000+00:00,U56,1583,6419,220
1780,6567,0,2023-08-27T12:11:28.654000+00:00,U57,1909,6702,240
1790,6572,0,2023-08-27T12:11:28.894000+00:00,U57,1909,6702,240
1828,6589,0,2023-08-27T12:11:29.234000+00:00,U57,1909,6702,340
1855,6597,0,2023-08-27T12:11:29.474000+00:00,U57,1909,6702,240
1891,6604,0,2023-08-27T12:11:29.694000+00:00,U57,1909,6702,220
1920,6607,0,2023-08-27T12:11:30.014000+00:00,U57,1909,6702,320
1947,6607,0,2023-08-27T12:11:30.234000+00:00,U57,1909,6702,220
1987,6602,0,2023-08-27T12:11:30.414000+00:00,U57,1909,6702,180
2016,6596,0,2023-08-27T12:11:30.774000+00:00,U57,1909,6702,360
2044,6587,0,2023-08-27T12:11:30.994000+00:00,U57,1909,6702,220
2067,6578,0,2023-08-27T12:11:31.174000+00:00,U57,1909,6702,180
2116,6549,0,2023-08-27T12:11:31.554000+00:00,U58,2306,6512,380
2202,6458,0,2023-08-27T12:11:32.374000+00:00,U58,2306,6512,820
2226,6411,0,2023-08-27T12:11:32.674000+00:00,U58,2306,6512,300
2235,6387,0,2023-08-27T12:11:32.814000+00:00,U58,2306,6512,140
2247,6343,0,2023-08-27T12:11:33.074000+00:00,U58,2306,6512,260
2252,6280,0,2023-08-27T12:11:33.334000+00:00,U59,2319,6071,260
2246,6243,0,2023-08-27T12:11:33.694000+00:00,U59,2319,6071,360
2241,6219,0,2023-08-27T12:11:33.854000+00:00,U59,2319,6071,160
