x,y,z,date,designator,x_led,y_led,time_delta
1112,5068,0,2023-08-27T12:10:16.754000+00:00,U53,1086,5212,180
1111,5065,0,2023-08-27T12:10:16.874000+00:00,U53,1086,5212,120
1115,5075,0,2023-08-27T12:10:17.134000+00:00,U53,1086,5212,260
1115,5077,0,2023-08-27T12:10:17.294000+00:00,U53,1086,5212,160
1122,5093,0,2023-08-27T12:10:17.574000+00:00,U53,1086,5212,280
1128,5110,0,2023-08-27T12:10:17.814000+00:00,U53,1086,5212,240
1136,5131,0,2023-08-27T12:10:17.954000+00:00,U53,1086,5212,140
1145,5154,0,2023-08-27T12:10:18.334000+00:00,U53,1086,5212,380
1152,5174,0,2023-08-27T12:10:18.534000+00:00,U53,1086,5212,200
1163,5202,0,2023-08-27T12:10:18.814000+00:00,U53,1086,5212,280
1167,5213,0,2023-08-27T12:10:18.914000+00:00,U53,1086,5212,100
1185,5258,0,2023-08-27T12:10:19.294000+00:00,U53,1086,5212,380
1195,5281,0,2023-08-27T12:10:19.474000+00:00,U53,1086,5212,180
1209,5311,0,2023-08-27T12:10:19.694000+00:00,U53,1086,5212,220
1279,5464,0,2023-08-27T12:10:19.954000+00:00,U54,1250,5615,260
1306,5526,0,2023-08-27T12:10:20.274000+00:00,U54,1250,5615,320
1316,5551,0,2023-08-27T12:10:20.554000+00:00,U54,1250,5615,280
1338,5610,0,2023-08-27T12:10:20.914000+00:00,U54,1250,5615,360
1352,5646,0,2023-08-27T12:10:21.114000+00:00,U54,1250,5615,200
1369,5691,0,2023-08-27T12:10:21.354000+00:00,U54,1250,5615,240
1395,5758,0,2023-08-27T12:10:21.534000+00:00,U54,1250,5615,180
1415,5808,0,2023-08-27T12:10:21.894000+00:00,U55,1418,6017,360
1452,5906,0,2023-08-27T12:10:22.194000+00:00,U55,1418,6017,300
1469,5947,0,2023-08-27T12:10:22.454000+00:00,U55,1418,6017,260
1487,5996,0,2023-08-27T12:10:22.634000+00:00,U55,1418,6017,180
1528,6101,0,2023-08-27T12:10:23.014000+00:00,U55,1418,6017,380
1547,6148,0,2023-08-27T12:10:23.194000+00:00,U55,1418,6017,180
1562,6189,0,2023-08-27T12:10:23.354000+00:00,U55,1418,6017,160
1584,6244,0,2023-08-27T12:10:23.574000+00:00,U56,1583,6419,220
1600,6287,0,2023-08-27T12:10:23.754000+00:00,U56,1583,6419,180
1621,6341,0,2023-08-27T12:10:23.994000+00:00,U56,1583,6419,240
1626,6354,0,2023-08-27T12:10:24.054000+00:00,U56,1583,6419,60
1648,6410,0,2023-08-27T12:10:24.314000+00:00,U56,1583,6419,260
1666,6453,0,2023-08-27T12:10:24.534000+00:00,U56,1583,6419,220
1697,6499,0,2023-08-27T12:10:24.814000+00:00,U56,1583,6419,280
1719,6523,0,2023-08-27T12:10:24.974000+00:00,U56,1583,6419,160
1781,6568,0,2023-08-27T12:10:25.254000+00:00,U57,1909,6702,280
1827,6588,0,2023-08-27T12:10:25.593000+00:00,U57,1909,6702,339
