x,y,z,date,designator,x_led,y_led,time_delta
1044,4888,0,2023-08-27T12:10:54.114000+00:00,U52,920,4804,280
1050,4905,0,2023-08-27T12:10:54.434000+00:00,U52,920,4804,320
1058,4926,0,2023-08-27T12:10:54.694000+00:00,U52,920,4804,260
1063,4940,0,2023-08-27T12:10:54.954000+00:00,U52,920,4804,260
1075,4970,0,2023-08-27T12:10:55.234000+00:00,U52,920,4804,280
1088,5006,0,2023-08-27T12:10:55.714000+00:00,U53,1086,5212,480
1145,5156,0,2023-08-27T12:10:56.074000+00:00,U53,1086,5212,360
1155,5181,0,2023-08-27T12:10:56.494000+00:00,U53,1086,5212,420
1161,5196,0,2023-08-27T12:10:56.674000+00:00,U53,1086,5212,180
1168,5215,0,2023-08-27T12:10:56.914000+00:00,U53,1086,5212,240
1175,5233,0,2023-08-27T12:10:57.134000+00:00,U53,1086,5212,220
1181,5249,0,2023-08-27T12:10:57.314000+00:00,U53,1086,5212,180
1186,5261,0,2023-08-27T12:10:57.494000+00:00,U53,1086,5212,180
1194,5278,0,2023-08-27T12:10:57.714000+00:00,U53,1086,5212,220
1202,5295,0,2023-08-27T12:10:57.934000+00:00,U53,1086,5212,220
1207,5307,0,2023-08-27T12:10:58.094000+00:00,U53,1086,5212,160
1217,5327,0,2023-08-27T12:10:58.354000+00:00,U53,1086,5212,260
1222,5338,0,2023-08-27T12:10:58.493000+00:00,U53,1086,5212,139
1235,5368,0,2023-08-27T12:10:58.754000+00:00,U53,1086,5212,261
1246,5391,0,2023-08-27T12:10:59.154000+00:00,U54,1250,5615,400
1253,5408,0,2023-08-27T12:10:59.394000+00:00,U54,1250,5615,240
1256,5413,0,2023-08-27T12:10:59.454000+00:00,U54,1250,5615,60
1283,5473,0,2023-08-27T12:10:59.714000+00:00,U54,1250,5615,260
1298,5506,0,2023-08-27T12:11:00.014000+00:00,U54,1250,5615,300
1306,5527,0,2023-08-27T12:11:00.414000+00:00,U54,1250,5615,400
1311,5540,0,2023-08-27T12:11:00.574000+00:00,U54,1250,5615,160
1320,5564,0,2023-08-27T12:11:00.754000+00:00,U54,1250,5615,180
1328,5585,0,2023-08-27T12:11:01.134000+00:00,U54,1250,5615,380
1333,5597,0,2023-08-27T12:11:01.294000+00:00,U54,1250,5615,160
1342,5621,0,2023-08-27T12:11:01.594000+00:00,U54,1250,5615,300
1354,5651,0,2023-08-27T12:11:01.834000+00:00,U54,1250,5615,240
1366,5681,0,2023-08-27T12:11:02.234000+00:00,U54,1250,5615,400
1371,5695,0,2023-08-27T12:11:02.534000+00:00,U54,1250,5615,300
1380,5719,0,2023-08-27T12:11:02.834000+00:00,U54,1250,5615,300
1390,5744,0,2023-08-27T12:11:03.094000+00:00,U54,1250,5615,260
1397,5762,0,2023-08-27T12:11:03.374000+00:00,U54,1250,5615,280
1404,5781,0,2023-08-27T12:11:03.614000+00:00,U54,1250,5615,240
1411,5798,0,2023-08-27T12:11:03.834000+00:00,U55,1418,6017,220
1417,5814,0,2023-08-27T12:11:04.034000+00:00,U55,1418,6017,200
1422,5826,0,2023-08-27T12:11:04.194000+00:00,U55,1418,6017,160
1429,5844,0,2023-08-27T12:11:04.414000+00:00,U55,1418,6017,220
1436,5864,0,2023-08-27T12:11:04.674000+00:00,U55,1418,6017,260
1442,5880,0,2023-08-27T12:11:04.874000+00:00,U55,1418,6017,200
1448,5894,0,2023-08-27T12:11:05.053000+00:00,U55,1418,6017,179
1454,5909,0,2023-08-27T12:11:05.234000+00:00,U55,1418,6017,181
1459,5924,0,2023-08-27T12:11:05.414000+00:00,U55,1418,6017,180
1466,5941,0,2023-08-27T12:11:05.634000+00:00,U55,1418,6017,220
1473,5960,0,2023-08-27T12:11:05.894000+00:00,U55,1418,6017,260
1481,5980,0,2023-08-27T12:11:06.154000+00:00,U55,1418,6017,260
1486,5993,0,2023-08-27T12:11:06.314000+00:00,U55,1418,6017,160
1496,6018,0,2023-08-27T12:11:06.634000+00:00,U55,1418,6017,320
1503,6037,0,2023-08-27T12:11:06.774000+00:00,U55,1418,6017,140
1518,6074,0,2023-08-27T12:11:07.194000+00:00,U55,1418,6017,420
1524,6091,0,2023-08-27T12:11:07.554000+00:00,U55,1418,6017,360
1532,6110,0,2023-08-27T12:11:07.794000+00:00,U55,1418,6017,240
1539,6128,0,2023-08-27T12:11:08.014000+00:00,U55,1418,6017,220
1549,6155,0,2023-08-27T12:11:08.274000+00:00,U55,1418,6017,260
1561,6185,0,2023-08-27T12:11:08.594000+00:00,U55,1418,6017,320
1572,6215,0,2023-08-27T12:11:09.074000+00:00,U56,1583,6419,480
1579,6233,0,2023-08-27T12:11:09.334000+00:00,U56,1583,6419,260
1587,6252,0,2023-08-27T12:11:09.574000+00:00,U56,1583,6419,240
1596,6276,0,2023-08-27T12:11:09.874000+00:00,U56,1583,6419,300
1606,6301,0,2023-08-27T12:11:10.094000+00:00,U56,1583,6419,220
1615,6325,0,2023-08-27T12:11:10.494000+00:00,U56,1583,6419,400
1621,6341,0,2023-08-27T12:11:10.694000+00:00,U56,1583,6419,200
1626,6355,0,2023-08-27T12:11:10.874000+00:00,U56,1583,6419,180
1634,6374,0,2023-08-27T12:11:11.114000+00:00,U56,1583,6419,240
1640,6391,0,2023-08-27T12:11:11.314000+00:00,U56,1583,6419,200
1648,6410,0,2023-08-27T12:11:11.534000+00:00,U56,1583,6419,220
1651,6418,0,2023-08-27T12:11:11.613000+00:00,U56,1583,6419,79
1659,6437,0,2023-08-27T12:11:11.814000+00:00,U56,1583,6419,201
1673,6466,0,2023-08-27T12:11:12.134000+00:00,U56,1583,6419,320
1691,6493,0,2023-08-27T12:11:12.334000+00:00,U56,1583,6419,200
1727,6530,0,2023-08-27T12:11:12.874000+00:00,U56,1583,6419,540
1757,6553,0,2023-08-27T12:11:13.134000+00:00,U57,1909,6702,260
1796,6575,0,2023-08-27T12:11:13.414000+00:00,U57,1909,6702,280
1822,6587,0,2023-08-27T12:11:13.574000+00:00,U57,1909,6702,160
1853,6596,0,2023-08-27T12:11:13.754000+00:00,U57,1909,6702,180
1919,6607,0,2023-08-27T12:11:13.994000+00:00,U57,1909,6702,240
1958,6606,0,2023-08-27T12:11:14.314000+00:00,U57,1909,6702,320
1990,6602,0,2023-08-27T12:11:14.474000+00:00,U57,1909,6702,160
2035,6590,0,2023-08-27T12:11:14.694000+00:00,U57,1909,6702,220
2131,6538,0,2023-08-27T12:11:15.074000+00:00,U58,2306,6512,380
2165,6507,0,2023-08-27T12:11:15.434000+00:00,U58,2306,6512,360
2194,6471,0,2023-08-27T12:11:15.654000+00:00,U58,2306,6512,220
2226,6410,0,2023-08-27T12:11:15.854000+00:00,U58,2306,6512,200
2247,6342,0,2023-08-27T12:11:16.294000+00:00,U58,2306,6512,440
2252,6303,0,2023-08-27T12:11:16.474000+00:00,U58,2306,6512,180
2248,6254,0,2023-08-27T12:11:16.694000+00:00,U59,2319,6071,220
2239,6211,0,2023-08-27T12:11:16.874000+00:00,U59,2319,6071,180
2214,6132,0,2023-08-27T12:11:17.094000+00:00,U59,2319,6071,220
2192,6063,0,2023-08-27T12:11:17.454000+00:00,U59,2319,6071,360
2175,6007,0,2023-08-27T12:11:17.654000+00:00,U59,2319,6071,200
2147,5921,0,2023-08-27T12:11:17.934000+00:00,U59,2319,6071,280
2118,5834,0,2023-08-27T12:11:18.193000+00:00,U60,2152,5660,259
2083,5723,0,2023-08-27T12:11:18.354000+00:00,U60,2152,5660,161
2030,5483,532,2023-08-27T12:11:18.734000+00:00,U60,2152,5660,380
1972,5274,531,2023-08-27T12:11:19.154000+00:00,U61,1988,5255,420
1901,5118,532,2023-08-27T12:11:19.614000+00:00,U61,1988,5255,460
1866,5031,533,2023-08-27T12:11:19.794000+00:00,U62,1853,4836,180
1817,4890,535,2023-08-27T12:11:19.994000+00:00,U62,1853,4836,200
1786,4751,535,2023-08-27T12:11:20.334000+00:00,U62,1853,4836,340
1770,4594,534,2023-08-27T12:11:20.614000+00:00,U63,1784,4407,280
1770,4513,533,2023-08-27T12:11:20.754000+00:00,U63,1784,4407,140
1775,4420,531,2023-08-27T12:11:20.914000+00:00,U63,1784,4407,160
1793,4223,530,2023-08-27T12:11:21.274000+00:00,U63,1784,4407,360
1800,4134,531,2023-08-27T12:11:21.454000+00:00,U64,1779,3971,180
1802,4050,532,2023-08-27T12:11:21.634000+00:00,U64,1779,3971,180
1802,4074,532,2023-08-27T12:11:21.734000+00:00,U64,1779,3971,100
1793,3943,534,2023-08-27T12:11:22.054000+00:00,U64,1779,3971,320
1773,3862,536,2023-08-27T12:11:22.274000+00:00,U64,1779,3971,220
1740,3786,540,2023-08-27T12:11:22.494000+00:00,U64,1779,3971,220
1695,3718,542,2023-08-27T12:11:22.714000+00:00,U65,1605,3569,220
1690,3712,543,2023-08-27T12:11:22.734000+00:00,U65,1605,3569,20
1622,3642,544,2023-08-27T12:11:22.994000+00:00,U65,1605,3569,260
1556,3592,545,2023-08-27T12:11:23.214000+00:00,U65,1605,3569,220
1422,3519,547,2023-08-27T12:11:23.494000+00:00,U65,1605,3569,280
1349,3487,547,2023-08-27T12:11:23.814000+00:00,U66,1211,3375,320
1234,3443,548,2023-08-27T12:11:24.114000+00:00,U66,1211,3375,300
1162,3416,547,2023-08-27T12:11:24.294000+00:00,U66,1211,3375,180
1096,3392,547,2023-08-27T12:11:24.454000+00:00,U66,1211,3375,160
1016,3361,546,2023-08-27T12:11:24.654000+00:00,U66,1211,3375,200
942,3329,544,2023-08-27T12:11:24.853000+00:00,U67,811,3188,199
777,3228,538,2023-08-27T12:11:25.174000+00:00,U67,811,3188,321
721,3168,536,2023-08-27T12:11:25.554000+00:00,U67,811,3188,380
692,3122,534,2023-08-27T12:11:25.714000+00:00,U67,811,3188,160
674,3086,534,2023-08-27T12:11:25.834000+00:00,U67,811,3188,120
