x,y,z,date,designator,x_led,y_led,time_delta
1108,5057,0,2023-08-27T12:10:58.754000+00:00,U53,1086,5212,261
1115,5076,0,2023-08-27T12:10:59.154000+00:00,U53,1086,5212,400
1121,5090,0,2023-08-27T12:10:59.394000+00:00,U53,1086,5212,240
1122,5095,0,2023-08-27T12:10:59.454000+00:00,U53,1086,5212,60
1130,5115,0,2023-08-27T12:10:59.714000+00:00,U53,1086,5212,260
1142,5146,0,2023-08-27T12:11:00.014000+00:00,U53,1086,5212,300
1150,5169,0,2023-08-27T12:11:00.414000+00:00,U53,1086,5212,400
1155,5182,0,2023-08-27T12:11:00.574000+00:00,U53,1086,5212,160
1173,5228,0,2023-08-27T12:11:01.134000+00:00,U53,1086,5212,560
1178,5242,0,2023-08-27T12:11:01.294000+00:00,U53,1086,5212,160
1188,5266,0,2023-08-27T12:11:01.594000+00:00,U53,1086,5212,300
1203,5297,0,2023-08-27T12:11:01.834000+00:00,U53,1086,5212,240
1279,5463,0,2023-08-27T12:11:02.234000+00:00,U54,1250,5615,400
1285,5478,0,2023-08-27T12:11:02.534000+00:00,U54,1250,5615,300
1297,5503,0,2023-08-27T12:11:02.834000+00:00,U54,1250,5615,300
1307,5529,0,2023-08-27T12:11:03.094000+00:00,U54,1250,5615,260
1314,5547,0,2023-08-27T12:11:03.374000+00:00,U54,1250,5615,280
1322,5567,0,2023-08-27T12:11:03.614000+00:00,U54,1250,5615,240
1329,5585,0,2023-08-27T12:11:03.834000+00:00,U54,1250,5615,220
1335,5601,0,2023-08-27T12:11:04.034000+00:00,U54,1250,5615,200
1340,5614,0,2023-08-27T12:11:04.194000+00:00,U54,1250,5615,160
1346,5632,0,2023-08-27T12:11:04.414000+00:00,U54,1250,5615,220
1354,5652,0,2023-08-27T12:11:04.674000+00:00,U54,1250,5615,260
1360,5668,0,2023-08-27T12:11:04.874000+00:00,U54,1250,5615,200
1366,5682,0,2023-08-27T12:11:05.053000+00:00,U54,1250,5615,179
1372,5697,0,2023-08-27T12:11:05.234000+00:00,U54,1250,5615,181
1377,5711,0,2023-08-27T12:11:05.414000+00:00,U54,1250,5615,180
1384,5729,0,2023-08-27T12:11:05.634000+00:00,U54,1250,5615,220
1391,5747,0,2023-08-27T12:11:05.894000+00:00,U54,1250,5615,260
1399,5767,0,2023-08-27T12:11:06.154000+00:00,U54,1250,5615,260
1404,5780,0,2023-08-27T12:11:06.314000+00:00,U54,1250,5615,160
1413,5804,0,2023-08-27T12:11:06.634000+00:00,U55,1418,6017,320
1420,5823,0,2023-08-27T12:11:06.774000+00:00,U55,1418,6017,140
1434,5859,0,2023-08-27T12:11:07.194000+00:00,U55,1418,6017,420
1441,5876,0,2023-08-27T12:11:07.554000+00:00,U55,1418,6017,360
1448,5895,0,2023-08-27T12:11:07.794000+00:00,U55,1418,6017,240
1455,5913,0,2023-08-27T12:11:08.014000+00:00,U55,1418,6017,220
1466,5940,0,2023-08-27T12:11:08.274000+00:00,U55,1418,6017,260
1478,5971,0,2023-08-27T12:11:08.594000+00:00,U55,1418,6017,320
1490,6002,0,2023-08-27T12:11:09.074000+00:00,U55,1418,6017,480
1497,6019,0,2023-08-27T12:11:09.334000+00:00,U55,1418,6017,260
1504,6039,0,2023-08-27T12:11:09.574000+00:00,U55,1418,6017,240
1513,6063,0,2023-08-27T12:11:09.874000+00:00,U55,1418,6017,300
1523,6089,0,2023-08-27T12:11:10.094000+00:00,U55,1418,6017,220
1533,6113,0,2023-08-27T12:11:10.494000+00:00,U55,1418,6017,400
1539,6129,0,2023-08-27T12:11:10.694000+00:00,U55,1418,6017,200
1545,6144,0,2023-08-27T12:11:10.874000+00:00,U55,1418,6017,180
