x,y,z,date,designator,x_led,y_led,time_delta
1045,4892,0,2023-08-27T12:11:17.094000+00:00,U52,920,4804,220
1056,4920,0,2023-08-27T12:11:17.454000+00:00,U52,920,4804,360
1063,4938,0,2023-08-27T12:11:17.654000+00:00,U52,920,4804,200
1074,4968,0,2023-08-27T12:11:17.934000+00:00,U52,920,4804,280
1084,4995,0,2023-08-27T12:11:18.193000+00:00,U53,1086,5212,259
1118,5084,0,2023-08-27T12:11:18.354000+00:00,U53,1086,5212,161
1152,5172,0,2023-08-27T12:11:18.734000+00:00,U53,1086,5212,380
1166,5209,0,2023-08-27T12:11:19.154000+00:00,U53,1086,5212,420
1176,5237,0,2023-08-27T12:11:19.614000+00:00,U53,1086,5212,460
1182,5252,0,2023-08-27T12:11:19.794000+00:00,U53,1086,5212,180
1190,5270,0,2023-08-27T12:11:19.994000+00:00,U53,1086,5212,200
1199,5289,0,2023-08-27T12:11:20.334000+00:00,U53,1086,5212,340
1208,5309,0,2023-08-27T12:11:20.614000+00:00,U53,1086,5212,280
1213,5319,0,2023-08-27T12:11:20.754000+00:00,U53,1086,5212,140
1218,5330,0,2023-08-27T12:11:20.914000+00:00,U53,1086,5212,160
1229,5355,0,2023-08-27T12:11:21.274000+00:00,U53,1086,5212,360
1235,5368,0,2023-08-27T12:11:21.454000+00:00,U53,1086,5212,180
1241,5380,0,2023-08-27T12:11:21.634000+00:00,U53,1086,5212,180
1244,5387,0,2023-08-27T12:11:21.734000+00:00,U54,1250,5615,100
1253,5408,0,2023-08-27T12:11:22.054000+00:00,U54,1250,5615,320
1262,5427,0,2023-08-27T12:11:22.274000+00:00,U54,1250,5615,220
1285,5477,0,2023-08-27T12:11:22.494000+00:00,U54,1250,5615,220
1290,5489,0,2023-08-27T12:11:22.714000+00:00,U54,1250,5615,220
1291,5490,0,2023-08-27T12:11:22.734000+00:00,U54,1250,5615,20
1297,5504,0,2023-08-27T12:11:22.994000+00:00,U54,1250,5615,260
1302,5515,0,2023-08-27T12:11:23.214000+00:00,U54,1250,5615,220
1309,5534,0,2023-08-27T12:11:23.494000+00:00,U54,1250,5615,280
1312,5543,0,2023-08-27T12:11:23.814000+00:00,U54,1250,5615,320
1317,5556,0,2023-08-27T12:11:24.114000+00:00,U54,1250,5615,300
1320,5563,0,2023-08-27T12:11:24.294000+00:00,U54,1250,5615,180
1323,5570,0,2023-08-27T12:11:24.454000+00:00,U54,1250,5615,160
1326,5578,0,2023-08-27T12:11:24.654000+00:00,U54,1250,5615,200
1329,5586,0,2023-08-27T12:11:24.853000+00:00,U54,1250,5615,199
1336,5604,0,2023-08-27T12:11:25.174000+00:00,U54,1250,5615,321
1339,5613,0,2023-08-27T12:11:25.554000+00:00,U54,1250,5615,380
1341,5619,0,2023-08-27T12:11:25.714000+00:00,U54,1250,5615,160
1343,5623,0,2023-08-27T12:11:25.834000+00:00,U54,1250,5615,120
1347,5633,0,2023-08-27T12:11:26.114000+00:00,U54,1250,5615,280
1350,5640,0,2023-08-27T12:11:26.314000+00:00,U54,1250,5615,200
1354,5651,0,2023-08-27T12:11:26.574000+00:00,U54,1250,5615,260
1360,5667,0,2023-08-27T12:11:27.014000+00:00,U54,1250,5615,440
1364,5677,0,2023-08-27T12:11:27.334000+00:00,U54,1250,5615,320
1367,5685,0,2023-08-27T12:11:27.554000+00:00,U54,1250,5615,220
1370,5693,0,2023-08-27T12:11:27.794000+00:00,U54,1250,5615,240
1372,5696,0,2023-08-27T12:11:27.894000+00:00,U54,1250,5615,100
1376,5707,0,2023-08-27T12:11:28.194000+00:00,U54,1250,5615,300
1378,5714,0,2023-08-27T12:11:28.414000+00:00,U54,1250,5615,220
1383,5727,0,2023-08-27T12:11:28.654000+00:00,U54,1250,5615,240
1385,5730,0,2023-08-27T12:11:28.894000+00:00,U54,1250,5615,240
1389,5741,0,2023-08-27T12:11:29.234000+00:00,U54,1250,5615,340
1392,5749,0,2023-08-27T12:11:29.474000+00:00,U54,1250,5615,240
1395,5758,0,2023-08-27T12:11:29.694000+00:00,U54,1250,5615,220
1398,5766,0,2023-08-27T12:11:30.014000+00:00,U54,1250,5615,320
1401,5773,0,2023-08-27T12:11:30.234000+00:00,U54,1250,5615,220
1405,5783,0,2023-08-27T12:11:30.414000+00:00,U54,1250,5615,180
1408,5790,0,2023-08-27T12:11:30.774000+00:00,U55,1418,6017,360
