x,y,z,date,designator,x_led,y_led,time_delta
1046,4894,0,2023-08-27T12:10:40.974000+00:00,U52,920,4804,340
1053,4913,0,2023-08-27T12:10:41.134000+00:00,U52,920,4804,160
1061,4933,0,2023-08-27T12:10:41.314000+00:00,U52,920,4804,180
1079,4982,0,2023-08-27T12:10:41.614000+00:00,U53,1086,5212,300
1087,5002,0,2023-08-27T12:10:41.934000+00:00,U53,1086,5212,320
1118,5083,0,2023-08-27T12:10:42.154000+00:00,U53,1086,5212,220
1154,5179,0,2023-08-27T12:10:42.454000+00:00,U53,1086,5212,300
1165,5207,0,2023-08-27T12:10:42.874000+00:00,U53,1086,5212,420
1173,5229,0,2023-08-27T12:10:43.114000+00:00,U53,1086,5212,240
1180,5246,0,2023-08-27T12:10:43.294000+00:00,U53,1086,5212,180
1190,5270,0,2023-08-27T12:10:43.494000+00:00,U53,1086,5212,200
1202,5296,0,2023-08-27T12:10:43.874000+00:00,U53,1086,5212,380
1211,5314,0,2023-08-27T12:10:44.074000+00:00,U53,1086,5212,200
1216,5326,0,2023-08-27T12:10:44.194000+00:00,U53,1086,5212,120
1227,5351,0,2023-08-27T12:10:44.434000+00:00,U53,1086,5212,240
1240,5378,0,2023-08-27T12:10:44.674000+00:00,U53,1086,5212,240
1249,5398,0,2023-08-27T12:10:44.834000+00:00,U54,1250,5615,160
1286,5481,0,2023-08-27T12:10:45.134000+00:00,U54,1250,5615,300
1306,5527,0,2023-08-27T12:10:45.353000+00:00,U54,1250,5615,219
1331,5593,0,2023-08-27T12:10:45.714000+00:00,U54,1250,5615,361
1344,5626,0,2023-08-27T12:10:46.074000+00:00,U54,1250,5615,360
1371,5695,0,2023-08-27T12:10:46.414000+00:00,U54,1250,5615,340
1385,5731,0,2023-08-27T12:10:46.634000+00:00,U54,1250,5615,220
1427,5839,0,2023-08-27T12:10:46.994000+00:00,U55,1418,6017,360
1439,5871,0,2023-08-27T12:10:47.274000+00:00,U55,1418,6017,280
1477,5968,0,2023-08-27T12:10:47.634000+00:00,U55,1418,6017,360
1495,6015,0,2023-08-27T12:10:47.854000+00:00,U55,1418,6017,220
1520,6080,0,2023-08-27T12:10:48.094000+00:00,U55,1418,6017,240
1551,6161,0,2023-08-27T12:10:48.394000+00:00,U55,1418,6017,300
1574,6218,0,2023-08-27T12:10:48.614000+00:00,U56,1583,6419,220
1600,6288,0,2023-08-27T12:10:48.774000+00:00,U56,1583,6419,160
1620,6339,0,2023-08-27T12:10:49.114000+00:00,U56,1583,6419,340
1647,6408,0,2023-08-27T12:10:49.434000+00:00,U56,1583,6419,320
1665,6452,0,2023-08-27T12:10:49.654000+00:00,U56,1583,6419,220
1682,6479,0,2023-08-27T12:10:49.814000+00:00,U56,1583,6419,160
1720,6524,0,2023-08-27T12:10:50.114000+00:00,U56,1583,6419,300
1755,6551,0,2023-08-27T12:10:50.334000+00:00,U57,1909,6702,220
1783,6568,0,2023-08-27T12:10:50.494000+00:00,U57,1909,6702,160
1817,6584,0,2023-08-27T12:10:50.674000+00:00,U57,1909,6702,180
1860,6598,0,2023-08-27T12:10:50.894000+00:00,U57,1909,6702,220
1893,6605,0,2023-08-27T12:10:51.054000+00:00,U57,1909,6702,160
1929,6607,0,2023-08-27T12:10:51.234000+00:00,U57,1909,6702,180
1973,6605,0,2023-08-27T12:10:51.454000+00:00,U57,1909,6702,220
2016,6596,0,2023-08-27T12:10:51.674000+00:00,U57,1909,6702,220
2056,6583,0,2023-08-27T12:10:51.893000+00:00,U57,1909,6702,219
2110,6553,0,2023-08-27T12:10:52.194000+00:00,U58,2306,6512,301
2140,6530,0,2023-08-27T12:10:52.394000+00:00,U58,2306,6512,200
2168,6503,0,2023-08-27T12:10:52.614000+00:00,U58,2306,6512,220
2202,6459,0,2023-08-27T12:10:52.794000+00:00,U58,2306,6512,180
