x,y,z,date,designator,x_led,y_led,time_delta
911,4537,0,2023-08-27T12:11:12.334000+00:00,U51,755,4396,200
924,4572,0,2023-08-27T12:11:12.714000+00:00,U52,920,4804,380
934,4598,0,2023-08-27T12:11:12.874000+00:00,U52,920,4804,160
948,4634,0,2023-08-27T12:11:13.134000+00:00,U52,920,4804,260
963,4673,0,2023-08-27T12:11:13.414000+00:00,U52,920,4804,280
971,4695,0,2023-08-27T12:11:13.574000+00:00,U52,920,4804,160
980,4719,0,2023-08-27T12:11:13.754000+00:00,U52,920,4804,180
997,4765,0,2023-08-27T12:11:13.994000+00:00,U52,920,4804,240
1007,4790,0,2023-08-27T12:11:14.314000+00:00,U52,920,4804,320
1014,4810,0,2023-08-27T12:11:14.474000+00:00,U52,920,4804,160
1024,4835,0,2023-08-27T12:11:14.694000+00:00,U52,920,4804,220
1046,4894,0,2023-08-27T12:11:15.074000+00:00,U52,920,4804,380
1055,4918,0,2023-08-27T12:11:15.434000+00:00,U52,920,4804,360
1064,4941,0,2023-08-27T12:11:15.654000+00:00,U52,920,4804,220
1076,4973,0,2023-08-27T12:11:15.854000+00:00,U52,920,4804,200
1087,5003,0,2023-08-27T12:11:16.294000+00:00,U53,1086,5212,440
1094,5019,0,2023-08-27T12:11:16.474000+00:00,U53,1086,5212,180
1101,5038,0,2023-08-27T12:11:16.694000+00:00,U53,1086,5212,220
1132,5121,0,2023-08-27T12:11:16.874000+00:00,U53,1086,5212,180
1151,5170,0,2023-08-27T12:11:17.094000+00:00,U53,1086,5212,220
1159,5191,0,2023-08-27T12:11:17.454000+00:00,U53,1086,5212,360
1165,5207,0,2023-08-27T12:11:17.654000+00:00,U53,1086,5212,200
1173,5228,0,2023-08-27T12:11:17.934000+00:00,U53,1086,5212,280
1181,5248,0,2023-08-27T12:11:18.193000+00:00,U53,1086,5212,259
1191,5270,0,2023-08-27T12:11:18.354000+00:00,U53,1086,5212,161
1202,5296,0,2023-08-27T12:11:18.734000+00:00,U53,1086,5212,380
1217,5328,0,2023-08-27T12:11:19.154000+00:00,U53,1086,5212,420
1229,5354,0,2023-08-27T12:11:19.614000+00:00,U53,1086,5212,460
1235,5368,0,2023-08-27T12:11:19.794000+00:00,U53,1086,5212,180
1245,5390,0,2023-08-27T12:11:19.994000+00:00,U54,1250,5615,200
1255,5410,0,2023-08-27T12:11:20.334000+00:00,U54,1250,5615,340
1284,5475,0,2023-08-27T12:11:20.614000+00:00,U54,1250,5615,280
1289,5486,0,2023-08-27T12:11:20.754000+00:00,U54,1250,5615,140
1295,5500,0,2023-08-27T12:11:20.914000+00:00,U54,1250,5615,160
1308,5531,0,2023-08-27T12:11:21.274000+00:00,U54,1250,5615,360
1314,5546,0,2023-08-27T12:11:21.454000+00:00,U54,1250,5615,180
1319,5560,0,2023-08-27T12:11:21.634000+00:00,U54,1250,5615,180
1322,5568,0,2023-08-27T12:11:21.734000+00:00,U54,1250,5615,100
1332,5594,0,2023-08-27T12:11:22.054000+00:00,U54,1250,5615,320
1339,5611,0,2023-08-27T12:11:22.274000+00:00,U54,1250,5615,220
1345,5629,0,2023-08-27T12:11:22.494000+00:00,U54,1250,5615,220
1352,5647,0,2023-08-27T12:11:22.714000+00:00,U54,1250,5615,220
1353,5649,0,2023-08-27T12:11:22.734000+00:00,U54,1250,5615,20
1361,5670,0,2023-08-27T12:11:22.994000+00:00,U54,1250,5615,260
1368,5688,0,2023-08-27T12:11:23.214000+00:00,U54,1250,5615,220
1381,5721,0,2023-08-27T12:11:23.494000+00:00,U54,1250,5615,280
1387,5737,0,2023-08-27T12:11:23.814000+00:00,U54,1250,5615,320
1397,5762,0,2023-08-27T12:11:24.114000+00:00,U54,1250,5615,300
1403,5777,0,2023-08-27T12:11:24.294000+00:00,U54,1250,5615,180
1408,5791,0,2023-08-27T12:11:24.454000+00:00,U55,1418,6017,160
1415,5808,0,2023-08-27T12:11:24.654000+00:00,U55,1418,6017,200
1421,5825,0,2023-08-27T12:11:24.853000+00:00,U55,1418,6017,199
1436,5863,0,2023-08-27T12:11:25.174000+00:00,U55,1418,6017,321
1444,5884,0,2023-08-27T12:11:25.554000+00:00,U55,1418,6017,380
1449,5898,0,2023-08-27T12:11:25.714000+00:00,U55,1418,6017,160
1453,5908,0,2023-08-27T12:11:25.834000+00:00,U55,1418,6017,120
1462,5932,0,2023-08-27T12:11:26.114000+00:00,U55,1418,6017,280
1469,5948,0,2023-08-27T12:11:26.314000+00:00,U55,1418,6017,200
1479,5975,0,2023-08-27T12:11:26.574000+00:00,U55,1418,6017,260
1493,6010,0,2023-08-27T12:11:27.014000+00:00,U55,1418,6017,440
1502,6033,0,2023-08-27T12:11:27.334000+00:00,U55,1418,6017,320
1509,6052,0,2023-08-27T12:11:27.554000+00:00,U55,1418,6017,220
1517,6072,0,2023-08-27T12:11:27.794000+00:00,U55,1418,6017,240
1520,6080,0,2023-08-27T12:11:27.894000+00:00,U55,1418,6017,100
1530,6106,0,2023-08-27T12:11:28.194000+00:00,U55,1418,6017,300
1537,6124,0,2023-08-27T12:11:28.414000+00:00,U55,1418,6017,220
1549,6156,0,2023-08-27T12:11:28.654000+00:00,U55,1418,6017,240
1553,6164,0,2023-08-27T12:11:28.894000+00:00,U55,1418,6017,240
1564,6193,0,2023-08-27T12:11:29.234000+00:00,U56,1583,6419,340
1572,6213,0,2023-08-27T12:11:29.474000+00:00,U56,1583,6419,240
1581,6238,0,2023-08-27T12:11:29.694000+00:00,U56,1583,6419,220
1589,6258,0,2023-08-27T12:11:30.014000+00:00,U56,1583,6419,320
1596,6276,0,2023-08-27T12:11:30.234000+00:00,U56,1583,6419,220
1606,6302,0,2023-08-27T12:11:30.414000+00:00,U56,1583,6419,180
1613,6320,0,2023-08-27T12:11:30.774000+00:00,U56,1583,6419,360
1620,6338,0,2023-08-27T12:11:30.994000+00:00,U56,1583,6419,220
1625,6352,0,2023-08-27T12:11:31.174000+00:00,U56,1583,6419,180
1638,6385,0,2023-08-27T12:11:31.554000+00:00,U56,1583,6419,380
1665,6451,0,2023-08-27T12:11:32.374000+00:00,U56,1583,6419,820
1677,6472,0,2023-08-27T12:11:32.674000+00:00,U56,1583,6419,300
1684,6483,0,2023-08-27T12:11:32.814000+00:00,U56,1583,6419,140
1698,6500,0,2023-08-27T12:11:33.074000+00:00,U56,1583,6419,260
1721,6525,0,2023-08-27T12:11:33.334000+00:00,U56,1583,6419,260
1737,6538,0,2023-08-27T12:11:33.694000+00:00,U56,1583,6419,360
1749,6548,0,2023-08-27T12:11:33.854000+00:00,U56,1583,6419,160
1788,6571,0,2023-08-27T12:11:34.154000+00:00,U57,1909,6702,300
1815,6584,0,2023-08-27T12:11:34.534000+00:00,U57,1909,6702,380
1849,6595,0,2023-08-27T12:11:34.794000+00:00,U57,1909,6702,260
1860,6598,0,2023-08-27T12:11:34.874000+00:00,U57,1909,6702,80
1930,6607,0,2023-08-27T12:11:35.194000+00:00,U57,1909,6702,320
1962,6606,0,2023-08-27T12:11:35.534000+00:00,U57,1909,6702,340
1989,6602,0,2023-08-27T12:11:35.694000+00:00,U57,1909,6702,160
2058,6582,0,2023-08-27T12:11:35.974000+00:00,U57,1909,6702,280
2126,6542,0,2023-08-27T12:11:36.494000+00:00,U58,2306,6512,520
2164,6507,0,2023-08-27T12:11:36.774000+00:00,U58,2306,6512,280
2192,6474,0,2023-08-27T12:11:36.994000+00:00,U58,2306,6512,220
2224,6415,0,2023-08-27T12:11:37.334000+00:00,U58,2306,6512,340
2235,6385,0,2023-08-27T12:11:37.494000+00:00,U58,2306,6512,160
2246,6345,0,2023-08-27T12:11:37.694000+00:00,U58,2306,6512,200
2252,6305,0,2023-08-27T12:11:37.893000+00:00,U58,2306,6512,199
2249,6256,0,2023-08-27T12:11:38.114000+00:00,U59,2319,6071,221
2235,6201,0,2023-08-27T12:11:38.294000+00:00,U59,2319,6071,180
2214,6132,0,2023-08-27T12:11:38.694000+00:00,U59,2319,6071,400
2199,6085,0,2023-08-27T12:11:38.894000+00:00,U59,2319,6071,200
2182,6032,0,2023-08-27T12:11:39.114000+00:00,U59,2319,6071,220
2168,5987,0,2023-08-27T12:11:39.294000+00:00,U59,2319,6071,180
2154,5942,0,2023-08-27T12:11:39.474000+00:00,U59,2319,6071,180
2123,5848,0,2023-08-27T12:11:39.774000+00:00,U60,2152,5660,300
2090,5744,0,2023-08-27T12:11:40.194000+00:00,U60,2152,5660,420
