x,y,z,date,designator,x_led,y_led,time_delta
973,4702,0,2023-08-27T12:10:51.234000+00:00,U52,920,4804,180
1178,5240,0,2023-08-27T12:10:51.454000+00:00,U53,1086,5212,220
1183,5254,0,2023-08-27T12:10:51.674000+00:00,U53,1086,5212,220
1190,5269,0,2023-08-27T12:10:51.893000+00:00,U53,1086,5212,219
1203,5297,0,2023-08-27T12:10:52.194000+00:00,U53,1086,5212,301
1211,5316,0,2023-08-27T12:10:52.394000+00:00,U53,1086,5212,200
1220,5334,0,2023-08-27T12:10:52.614000+00:00,U53,1086,5212,220
1231,5359,0,2023-08-27T12:10:52.794000+00:00,U53,1086,5212,180
1252,5405,0,2023-08-27T12:10:53.214000+00:00,U54,1250,5615,420
1268,5441,0,2023-08-27T12:10:53.614000+00:00,U54,1250,5615,400
1292,5493,0,2023-08-27T12:10:53.834000+00:00,U54,1250,5615,220
1303,5518,0,2023-08-27T12:10:54.114000+00:00,U54,1250,5615,280
1326,5579,0,2023-08-27T12:10:54.434000+00:00,U54,1250,5615,320
1352,5646,0,2023-08-27T12:10:54.694000+00:00,U54,1250,5615,260
1370,5692,0,2023-08-27T12:10:54.954000+00:00,U54,1250,5615,260
1409,5794,0,2023-08-27T12:10:55.234000+00:00,U55,1418,6017,280
1455,5913,0,2023-08-27T12:10:55.714000+00:00,U55,1418,6017,480
1489,5999,0,2023-08-27T12:10:56.074000+00:00,U55,1418,6017,360
1517,6072,0,2023-08-27T12:10:56.494000+00:00,U55,1418,6017,420
1532,6112,0,2023-08-27T12:10:56.674000+00:00,U55,1418,6017,180
1552,6163,0,2023-08-27T12:10:56.914000+00:00,U55,1418,6017,240
1569,6207,0,2023-08-27T12:10:57.134000+00:00,U56,1583,6419,220
1583,6243,0,2023-08-27T12:10:57.314000+00:00,U56,1583,6419,180
1597,6279,0,2023-08-27T12:10:57.494000+00:00,U56,1583,6419,180
1614,6322,0,2023-08-27T12:10:57.714000+00:00,U56,1583,6419,220
1630,6365,0,2023-08-27T12:10:57.934000+00:00,U56,1583,6419,220
1642,6397,0,2023-08-27T12:10:58.094000+00:00,U56,1583,6419,160
1663,6447,0,2023-08-27T12:10:58.354000+00:00,U56,1583,6419,260
1676,6471,0,2023-08-27T12:10:58.493000+00:00,U56,1583,6419,139
1729,6532,0,2023-08-27T12:10:58.754000+00:00,U56,1583,6419,261
1783,6568,0,2023-08-27T12:10:59.154000+00:00,U57,1909,6702,400
1826,6588,0,2023-08-27T12:10:59.394000+00:00,U57,1909,6702,240
1837,6591,0,2023-08-27T12:10:59.454000+00:00,U57,1909,6702,60
1890,6604,0,2023-08-27T12:10:59.714000+00:00,U57,1909,6702,260
1976,6604,0,2023-08-27T12:11:00.014000+00:00,U57,1909,6702,300
2031,6591,0,2023-08-27T12:11:00.414000+00:00,U57,1909,6702,400
2062,6580,0,2023-08-27T12:11:00.574000+00:00,U57,1909,6702,160
2115,6550,0,2023-08-27T12:11:00.754000+00:00,U58,2306,6512,180
2157,6515,0,2023-08-27T12:11:01.134000+00:00,U58,2306,6512,380
2181,6489,0,2023-08-27T12:11:01.294000+00:00,U58,2306,6512,160
