x,y,z,date,designator,x_led,y_led,time_delta
1114,5073,0,2023-08-27T12:10:19.954000+00:00,U53,1086,5212,260
1131,5117,0,2023-08-27T12:10:20.274000+00:00,U53,1086,5212,320
1137,5134,0,2023-08-27T12:10:20.554000+00:00,U53,1086,5212,280
1154,5177,0,2023-08-27T12:10:20.914000+00:00,U53,1086,5212,360
1164,5204,0,2023-08-27T12:10:21.114000+00:00,U53,1086,5212,200
1176,5237,0,2023-08-27T12:10:21.354000+00:00,U53,1086,5212,240
1195,5279,0,2023-08-27T12:10:21.534000+00:00,U53,1086,5212,180
1208,5308,0,2023-08-27T12:10:21.894000+00:00,U53,1086,5212,360
1288,5484,0,2023-08-27T12:10:22.194000+00:00,U54,1250,5615,300
1299,5508,0,2023-08-27T12:10:22.454000+00:00,U54,1250,5615,260
1309,5534,0,2023-08-27T12:10:22.634000+00:00,U54,1250,5615,180
1333,5597,0,2023-08-27T12:10:23.014000+00:00,U54,1250,5615,380
1346,5629,0,2023-08-27T12:10:23.194000+00:00,U54,1250,5615,180
1357,5659,0,2023-08-27T12:10:23.354000+00:00,U54,1250,5615,160
1374,5703,0,2023-08-27T12:10:23.574000+00:00,U54,1250,5615,220
1388,5740,0,2023-08-27T12:10:23.754000+00:00,U54,1250,5615,180
1409,5793,0,2023-08-27T12:10:23.994000+00:00,U55,1418,6017,240
1414,5806,0,2023-08-27T12:10:24.054000+00:00,U55,1418,6017,60
1438,5867,0,2023-08-27T12:10:24.314000+00:00,U55,1418,6017,260
1458,5921,0,2023-08-27T12:10:24.534000+00:00,U55,1418,6017,220
1484,5988,0,2023-08-27T12:10:24.814000+00:00,U55,1418,6017,280
1499,6025,0,2023-08-27T12:10:24.974000+00:00,U55,1418,6017,160
1531,6109,0,2023-08-27T12:10:25.254000+00:00,U55,1418,6017,280
1550,6157,0,2023-08-27T12:10:25.593000+00:00,U55,1418,6017,339
1567,6201,0,2023-08-27T12:10:25.814000+00:00,U56,1583,6419,221
1590,6261,0,2023-08-27T12:10:26.114000+00:00,U56,1583,6419,300
1602,6291,0,2023-08-27T12:10:26.354000+00:00,U56,1583,6419,240
1621,6342,0,2023-08-27T12:10:26.674000+00:00,U56,1583,6419,320
1632,6369,0,2023-08-27T12:10:26.854000+00:00,U56,1583,6419,180
1653,6423,0,2023-08-27T12:10:27.114000+00:00,U56,1583,6419,260
1667,6455,0,2023-08-27T12:10:27.434000+00:00,U56,1583,6419,320
1705,6509,0,2023-08-27T12:10:27.714000+00:00,U56,1583,6419,280
1735,6537,0,2023-08-27T12:10:28.074000+00:00,U56,1583,6419,360
1801,6577,0,2023-08-27T12:10:28.374000+00:00,U57,1909,6702,300
1828,6589,0,2023-08-27T12:10:28.674000+00:00,U57,1909,6702,300
1887,6604,0,2023-08-27T12:10:29.014000+00:00,U57,1909,6702,340
1939,6607,0,2023-08-27T12:10:29.154000+00:00,U57,1909,6702,140
1997,6600,0,2023-08-27T12:10:29.614000+00:00,U57,1909,6702,460
2026,6593,0,2023-08-27T12:10:29.774000+00:00,U57,1909,6702,160
2065,6579,0,2023-08-27T12:10:29.994000+00:00,U57,1909,6702,220
