x,y,z,date,designator,x_led,y_led,time_delta
1160,5393,537,2023-08-27T12:10:46.994000+00:00,U53,1086,5212,360
1186,5464,537,2023-08-27T12:10:47.274000+00:00,U54,1250,5615,280
1244,5635,538,2023-08-27T12:10:47.634000+00:00,U54,1250,5615,360
1264,5701,538,2023-08-27T12:10:47.854000+00:00,U54,1250,5615,220
1288,5788,539,2023-08-27T12:10:48.094000+00:00,U54,1250,5615,240
1318,5895,540,2023-08-27T12:10:48.394000+00:00,U55,1418,6017,300
1338,5970,541,2023-08-27T12:10:48.614000+00:00,U55,1418,6017,220
1368,6074,544,2023-08-27T12:10:48.774000+00:00,U55,1418,6017,160
1392,6156,544,2023-08-27T12:10:49.114000+00:00,U55,1418,6017,340
1431,6276,546,2023-08-27T12:10:49.434000+00:00,U56,1583,6419,320
1463,6357,547,2023-08-27T12:10:49.654000+00:00,U56,1583,6419,220
1490,6415,548,2023-08-27T12:10:49.814000+00:00,U56,1583,6419,160
1545,6508,548,2023-08-27T12:10:50.114000+00:00,U56,1583,6419,300
1089,5358,537,2023-08-27T12:10:50.334000+00:00,U53,1086,5212,220
1035,5058,536,2023-08-27T12:10:50.494000+00:00,U53,1086,5212,160
1069,5128,536,2023-08-27T12:10:50.674000+00:00,U53,1086,5212,180
1095,5203,537,2023-08-27T12:10:50.894000+00:00,U53,1086,5212,220
1112,5252,537,2023-08-27T12:10:51.054000+00:00,U53,1086,5212,160
1131,5303,537,2023-08-27T12:10:51.234000+00:00,U53,1086,5212,180
1153,5361,537,2023-08-27T12:10:51.454000+00:00,U53,1086,5212,220
1175,5423,537,2023-08-27T12:10:51.674000+00:00,U54,1250,5615,220
1196,5481,537,2023-08-27T12:10:51.893000+00:00,U54,1250,5615,219
1223,5565,537,2023-08-27T12:10:52.194000+00:00,U54,1250,5615,301
1238,5614,538,2023-08-27T12:10:52.394000+00:00,U54,1250,5615,200
1254,5666,538,2023-08-27T12:10:52.614000+00:00,U54,1250,5615,220
1275,5741,538,2023-08-27T12:10:52.794000+00:00,U54,1250,5615,180
1310,5866,539,2023-08-27T12:10:53.214000+00:00,U55,1418,6017,420
1332,5948,541,2023-08-27T12:10:53.614000+00:00,U55,1418,6017,400
1361,6052,542,2023-08-27T12:10:53.834000+00:00,U55,1418,6017,220
1376,6103,544,2023-08-27T12:10:54.114000+00:00,U55,1418,6017,280
1407,6207,546,2023-08-27T12:10:54.434000+00:00,U55,1418,6017,320
1446,6317,547,2023-08-27T12:10:54.694000+00:00,U56,1583,6419,260
1477,6387,547,2023-08-27T12:10:54.954000+00:00,U56,1583,6419,260
1556,6524,548,2023-08-27T12:10:55.234000+00:00,U56,1583,6419,280
856,4608,536,2023-08-27T12:10:55.714000+00:00,U52,920,4804,480
921,4785,537,2023-08-27T12:10:56.074000+00:00,U52,920,4804,360
985,4945,536,2023-08-27T12:10:56.494000+00:00,U52,920,4804,420
1023,5037,536,2023-08-27T12:10:56.674000+00:00,U53,1086,5212,180
1074,5163,537,2023-08-27T12:10:56.914000+00:00,U53,1086,5212,240
1121,5281,537,2023-08-27T12:10:57.134000+00:00,U53,1086,5212,220
1160,5380,537,2023-08-27T12:10:57.314000+00:00,U53,1086,5212,180
1195,5477,537,2023-08-27T12:10:57.494000+00:00,U54,1250,5615,180
1239,5613,537,2023-08-27T12:10:57.714000+00:00,U54,1250,5615,220
1277,5747,538,2023-08-27T12:10:57.934000+00:00,U54,1250,5615,220
1305,5846,539,2023-08-27T12:10:58.094000+00:00,U55,1418,6017,160
1349,6009,542,2023-08-27T12:10:58.354000+00:00,U55,1418,6017,260
1374,6098,544,2023-08-27T12:10:58.493000+00:00,U55,1418,6017,139
1451,6332,547,2023-08-27T12:10:58.754000+00:00,U56,1583,6419,261
1541,6508,548,2023-08-27T12:10:59.154000+00:00,U56,1583,6419,400
1640,6617,550,2023-08-27T12:10:59.394000+00:00,U56,1583,6419,240
1671,6640,550,2023-08-27T12:10:59.454000+00:00,U56,1583,6419,60
1830,6704,550,2023-08-27T12:10:59.714000+00:00,U57,1909,6702,260
2110,6654,548,2023-08-27T12:11:00.014000+00:00,U57,1909,6702,300
2242,6510,546,2023-08-27T12:11:00.414000+00:00,U58,2306,6512,400
2286,6401,546,2023-08-27T12:11:00.574000+00:00,U58,2306,6512,160
2298,6177,544,2023-08-27T12:11:00.754000+00:00,U59,2319,6071,180
2255,5989,542,2023-08-27T12:11:01.134000+00:00,U59,2319,6071,380
2216,5872,540,2023-08-27T12:11:01.294000+00:00,U60,2152,5660,160
2138,5661,536,2023-08-27T12:11:01.594000+00:00,U60,2152,5660,300
2023,5391,532,2023-08-27T12:11:01.834000+00:00,U61,1988,5255,240
1905,5129,532,2023-08-27T12:11:02.234000+00:00,U61,1988,5255,400
1854,5002,534,2023-08-27T12:11:02.534000+00:00,U62,1853,4836,300
1791,4786,536,2023-08-27T12:11:02.834000+00:00,U62,1853,4836,300
2771,2990,582,2023-08-27T12:11:03.094000+00:00,U73,2806,2989,260
4236,3173,537,2023-08-27T12:11:03.374000+00:00,U76,4092,2791,280
5705,3366,546,2023-08-27T12:11:03.614000+00:00,U80,5703,3315,240
5866,3459,557,2023-08-27T12:11:03.834000+00:00,U80,5703,3315,220
6015,3522,565,2023-08-27T12:11:04.034000+00:00,U81,6105,3484,200
6813,3655,597,2023-08-27T12:11:04.194000+00:00,U83,6969,3536,160
7064,3630,599,2023-08-27T12:11:04.414000+00:00,U83,6969,3536,220
7245,3626,599,2023-08-27T12:11:04.674000+00:00,U84,7402,3511,260
7378,3624,597,2023-08-27T12:11:04.874000+00:00,U84,7402,3511,200
7494,3620,595,2023-08-27T12:11:05.053000+00:00,U84,7402,3511,179
7614,3614,592,2023-08-27T12:11:05.234000+00:00,U84,7402,3511,181
7731,3605,589,2023-08-27T12:11:05.414000+00:00,U85,7831,3476,180
7859,3588,585,2023-08-27T12:11:05.634000+00:00,U85,7831,3476,220
7998,3555,579,2023-08-27T12:11:05.894000+00:00,U85,7831,3476,260
8147,3498,571,2023-08-27T12:11:06.154000+00:00,U86,8241,3335,260
8230,3454,565,2023-08-27T12:11:06.314000+00:00,U86,8241,3335,160
8381,3341,555,2023-08-27T12:11:06.634000+00:00,U86,8241,3335,320
8479,3238,547,2023-08-27T12:11:06.774000+00:00,U87,8549,3025,140
8623,3005,536,2023-08-27T12:11:07.194000+00:00,U87,8549,3025,420
8668,2880,532,2023-08-27T12:11:07.554000+00:00,U87,8549,3025,360
8696,2737,530,2023-08-27T12:11:07.794000+00:00,U88,8703,2612,240
8703,2601,530,2023-08-27T12:11:08.014000+00:00,U88,8703,2612,220
8683,2388,532,2023-08-27T12:11:08.274000+00:00,U89,8662,2173,260
8610,2159,539,2023-08-27T12:11:08.594000+00:00,U89,8662,2173,320
8489,1942,547,2023-08-27T12:11:09.074000+00:00,U90,8451,1785,480
8411,1818,550,2023-08-27T12:11:09.334000+00:00,U90,8451,1785,260
8325,1683,553,2023-08-27T12:11:09.574000+00:00,U90,8451,1785,240
8217,1511,555,2023-08-27T12:11:09.874000+00:00,U91,8203,1426,300
8103,1324,553,2023-08-27T12:11:10.094000+00:00,U91,8203,1426,220
8003,1142,550,2023-08-27T12:11:10.494000+00:00,U92,7973,1053,400
7943,1022,547,2023-08-27T12:11:10.694000+00:00,U92,7973,1053,200
7894,915,544,2023-08-27T12:11:10.874000+00:00,U92,7973,1053,180
7837,786,541,2023-08-27T12:11:11.114000+00:00,U93,7777,664,240
7787,672,538,2023-08-27T12:11:11.314000+00:00,U93,7777,664,200
7735,558,536,2023-08-27T12:11:11.534000+00:00,U93,7777,664,220
7715,517,536,2023-08-27T12:11:11.613000+00:00,U93,7777,664,79
7518,226,530,2023-08-27T12:11:11.814000+00:00,U94,7581,275,201
7370,139,526,2023-08-27T12:11:12.134000+00:00,U95,7274,-35,320
7196,88,525,2023-08-27T12:11:12.334000+00:00,U95,7274,-35,200
7067,71,524,2023-08-27T12:11:12.714000+00:00,U95,7274,-35,380
